,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,12,0.08333333333333333,1.0,1.0,0.08333333333333333,goal,1.0,1.0,1.0,1.0,12.0,12.0,12.0,1.0,12.0,12.0,12.0
1,1,0,False,0,0.0,0.0,0.0,0.0,error,0.5,0.5,0.5,0.5,6.0,6.0,6.0,1.0,12.0,12.0,12.0
2,2,0,False,49,0.02040816326530612,0.0,0.0,0.0,max_steps_exceeded,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.333333333333332,20.333333333333332,20.333333333333332,1.0,12.0,12.0,12.0
3,3,0,False,49,0.02040816326530612,0.0,0.0,0.0,max_steps_exceeded,0.25,0.0,0.25,0.25,32.666666666666664,27.5,27.5,1.0,,12.0,12.0
4,4,0,False,49,0.02040816326530612,0.0,0.0,0.0,max_steps_exceeded,0.2,0.0,0.2,0.2,49.0,31.8,31.8,1.0,,12.0,12.0
5,5,0,False,49,0.02040816326530612,0.0,0.0,0.0,max_steps_exceeded,0.16666666666666666,0.0,0.0,0.16666666666666666,49.0,39.2,34.666666666666664,1.0,,,12.0
6,6,0,False,49,0.02040816326530612,0.0,0.0,0.0,max_steps_exceeded,0.14285714285714285,0.0,0.0,0.14285714285714285,49.0,49.0,36.714285714285715,1.0,,,12.0
7,7,0,False,49,0.02040816326530612,0.0,0.0,0.0,max_steps_exceeded,0.125,0.0,0.0,0.125,49.0,49.0,38.25,1.0,,,12.0
8,8,0,False,49,0.02040816326530612,0.0,0.0,0.0,max_steps_exceeded,0.1111111111111111,0.0,0.0,0.1111111111111111,49.0,49.0,39.44444444444444,1.0,,,12.0
