,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,15,0.06666666666666667,1,1,0.06666666666666667,goal,1.0,1.0,1.0,1.0,15.0,15.0,15.0,1,15.0,15.0,15.0
1,1,1,True,12,0.08333333333333333,1,1,0.08333333333333333,goal,1.0,1.0,1.0,1.0,13.5,13.5,13.5,2,13.5,13.5,13.5
2,2,0,False,6,0.16666666666666666,0,0,0.0,hole,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,11.0,11.0,11.0,2,13.5,13.5,13.5
3,3,1,True,23,0.043478260869565216,1,1,0.043478260869565216,goal,0.75,0.6666666666666666,0.75,0.75,13.666666666666666,14.0,14.0,3,17.5,16.666666666666668,16.666666666666668
4,4,1,True,15,0.06666666666666667,1,1,0.06666666666666667,goal,0.8,0.6666666666666666,0.8,0.8,14.666666666666666,14.2,14.2,4,19.0,16.25,16.25
5,5,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,0.8333333333333334,1.0,0.8,0.8333333333333334,17.333333333333332,14.0,14.166666666666666,5,17.333333333333332,16.0,15.8
6,6,1,True,19,0.05263157894736842,1,1,0.05263157894736842,goal,0.8571428571428571,1.0,0.8,0.8571428571428571,16.0,15.4,14.857142857142858,6,16.0,17.75,16.333333333333332
7,7,1,True,21,0.047619047619047616,1,1,0.047619047619047616,goal,0.875,1.0,1.0,0.875,18.0,18.4,15.625,7,18.0,18.4,17.0
8,8,0,False,17,0.058823529411764705,0,0,0.0,hole,0.7777777777777778,0.6666666666666666,0.8,0.7777777777777778,19.0,17.2,15.777777777777779,7,20.0,17.25,17.0
9,9,0,False,8,0.125,0,0,0.0,hole,0.7,0.3333333333333333,0.6,0.7,15.333333333333334,15.8,15.0,7,21.0,18.0,17.0
