,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,0,False,2,0.5,0,0,0.0,hole,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,,,
1,1,1,True,21,0.047619047619047616,1,1,0.047619047619047616,goal,0.5,0.5,0.5,0.5,11.5,11.5,11.5,1,21.0,21.0,21.0
2,2,0,False,27,0.037037037037037035,0,0,0.0,hole,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,16.666666666666668,16.666666666666668,16.666666666666668,1,21.0,21.0,21.0
3,3,1,True,38,0.02631578947368421,1,1,0.02631578947368421,goal,0.5,0.6666666666666666,0.5,0.5,28.666666666666668,22.0,22.0,2,29.5,29.5,29.5
4,4,1,True,20,0.05,1,1,0.05,goal,0.6,0.6666666666666666,0.6,0.6,28.333333333333332,21.6,21.6,3,29.0,26.333333333333332,26.333333333333332
5,5,0,False,15,0.06666666666666667,0,0,0.0,hole,0.5,0.6666666666666666,0.6,0.5,24.333333333333332,24.2,20.5,3,29.0,26.333333333333332,26.333333333333332
6,6,1,True,13,0.07692307692307693,1,1,0.07692307692307693,goal,0.5714285714285714,0.6666666666666666,0.6,0.5714285714285714,16.0,22.6,19.428571428571427,4,16.5,23.666666666666668,23.0
7,7,0,False,5,0.2,0,0,0.0,hole,0.5,0.3333333333333333,0.6,0.5,11.0,18.2,17.625,4,13.0,23.666666666666668,23.0
8,8,0,False,4,0.25,0,0,0.0,hole,0.4444444444444444,0.3333333333333333,0.4,0.4444444444444444,7.333333333333333,11.4,16.11111111111111,4,13.0,16.5,23.0
9,9,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,0.5,0.3333333333333333,0.4,0.5,7.666666666666667,10.2,15.9,5,14.0,13.5,21.2
