,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,0,False,7,0.14285714285714285,0.0,0.0,0.0,hole,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,,,
1,1,1,True,11,0.09090909090909091,1.0,1.0,0.09090909090909091,goal,0.5,0.5,0.5,0.5,9.0,9.0,9.0,1.0,11.0,11.0,11.0
2,2,0,False,0,0.0,0.0,0.0,0.0,error,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,6.0,6.0,1.0,11.0,11.0,11.0
3,3,0,False,6,0.16666666666666666,0.0,0.0,0.0,hole,0.25,0.3333333333333333,0.25,0.25,5.666666666666667,6.0,6.0,1.0,11.0,11.0,11.0
4,4,0,False,4,0.25,0.0,0.0,0.0,hole,0.2,0.0,0.2,0.2,3.3333333333333335,5.6,5.6,1.0,,11.0,11.0
5,5,0,False,25,0.04,0.0,0.0,0.0,max_steps_exceeded,0.16666666666666666,0.0,0.2,0.16666666666666666,11.666666666666666,9.2,8.833333333333334,1.0,,11.0,11.0
6,6,1,True,12,0.08333333333333333,1.0,1.0,0.08333333333333333,goal,0.2857142857142857,0.3333333333333333,0.2,0.2857142857142857,13.666666666666666,9.4,9.285714285714286,2.0,12.0,12.0,11.5
7,7,1,True,16,0.0625,1.0,1.0,0.0625,goal,0.375,0.6666666666666666,0.4,0.375,17.666666666666668,12.6,10.125,3.0,14.0,14.0,13.0
8,8,1,True,15,0.06666666666666667,1.0,1.0,0.06666666666666667,goal,0.4444444444444444,1.0,0.6,0.4444444444444444,14.333333333333334,14.4,10.666666666666666,4.0,14.333333333333334,14.333333333333334,13.5
9,9,1,True,22,0.045454545454545456,1.0,1.0,0.045454545454545456,goal,0.5,1.0,0.8,0.5,17.666666666666668,18.0,11.8,5.0,17.666666666666668,16.25,15.2
