,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,20,0.05,1,1,0.05,goal,1.0,1.0,1.0,1.0,20.0,20.0,20.0,1,20.0,20.0,20.0
1,1,1,True,20,0.05,1,1,0.05,goal,1.0,1.0,1.0,1.0,20.0,20.0,20.0,2,20.0,20.0,20.0
2,2,1,True,32,0.03125,1,1,0.03125,goal,1.0,1.0,1.0,1.0,24.0,24.0,24.0,3,24.0,24.0,24.0
3,3,0,False,6,0.16666666666666666,0,0,0.0,hole,0.75,0.6666666666666666,0.75,0.75,19.333333333333332,19.5,19.5,3,26.0,24.0,24.0
4,4,1,True,29,0.034482758620689655,1,1,0.034482758620689655,goal,0.8,0.6666666666666666,0.8,0.8,22.333333333333332,21.4,21.4,4,30.5,25.25,25.25
5,5,1,True,20,0.05,1,1,0.05,goal,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,18.333333333333332,21.4,21.166666666666668,5,24.5,25.25,24.2
6,6,1,True,28,0.03571428571428571,1,1,0.03571428571428571,goal,0.8571428571428571,1.0,0.8,0.8571428571428571,25.666666666666668,23.0,22.142857142857142,6,25.666666666666668,27.25,24.833333333333332
7,7,1,True,18,0.05555555555555555,1,1,0.05555555555555555,goal,0.875,1.0,0.8,0.875,22.0,20.2,21.625,7,22.0,23.75,23.857142857142858
8,8,0,False,2,0.5,0,0,0.0,hole,0.7777777777777778,0.6666666666666666,0.8,0.7777777777777778,16.0,19.4,19.444444444444443,7,23.0,23.75,23.857142857142858
9,9,1,True,26,0.038461538461538464,1,1,0.038461538461538464,goal,0.8,0.6666666666666666,0.8,0.8,15.333333333333334,18.8,20.1,8,22.0,23.0,24.125
