,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,0,False,3,0.3333333333333333,0,0,0.0,hole,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0,,,
1,1,0,False,7,0.14285714285714285,0,0,0.0,hole,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0,,,
2,2,1,True,21,0.047619047619047616,1,1,0.047619047619047616,goal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.333333333333334,10.333333333333334,10.333333333333334,1,21.0,21.0,21.0
3,3,1,True,12,0.08333333333333333,1,1,0.08333333333333333,goal,0.5,0.6666666666666666,0.5,0.5,13.333333333333334,10.75,10.75,2,16.5,16.5,16.5
4,4,0,False,5,0.2,0,0,0.0,hole,0.4,0.6666666666666666,0.4,0.4,12.666666666666666,9.6,9.6,2,16.5,16.5,16.5
5,5,1,True,12,0.08333333333333333,1,1,0.08333333333333333,goal,0.5,0.6666666666666666,0.6,0.5,9.666666666666666,11.4,10.0,3,12.0,15.0,15.0
6,6,1,True,10,0.1,1,1,0.1,goal,0.5714285714285714,0.6666666666666666,0.8,0.5714285714285714,9.0,12.0,10.0,4,11.0,13.75,13.75
7,7,0,False,4,0.25,0,0,0.0,hole,0.5,0.6666666666666666,0.6,0.5,8.666666666666666,8.6,9.25,4,11.0,11.333333333333334,13.75
8,8,0,False,4,0.25,0,0,0.0,hole,0.4444444444444444,0.3333333333333333,0.4,0.4444444444444444,6.0,7.0,8.666666666666666,4,10.0,11.0,13.75
9,9,1,True,10,0.1,1,1,0.1,goal,0.5,0.3333333333333333,0.6,0.5,6.0,8.0,8.8,5,10.0,10.666666666666666,13.0
