,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0
1,1,1,True,21,0.047619047619047616,1.0,1.0,0.047619047619047616,goal,1.0,1.0,1.0,1.0,17.5,17.5,17.5,2.0,17.5,17.5,17.5
2,2,0,False,16,0.0625,0.0,0.0,0.0,hole,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,17.0,17.0,17.0,2.0,17.5,17.5,17.5
3,3,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,0.75,0.6666666666666666,0.75,0.75,17.0,16.25,16.25,3.0,17.5,16.333333333333332,16.333333333333332
4,4,1,True,13,0.07692307692307693,1.0,1.0,0.07692307692307693,goal,0.8,0.6666666666666666,0.8,0.8,14.333333333333334,15.6,15.6,4.0,13.5,15.5,15.5
5,5,0,False,0,0.0,0.0,0.0,0.0,error,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,9.0,12.8,13.0,4.0,13.5,16.0,15.5
6,6,1,True,12,0.08333333333333333,1.0,1.0,0.08333333333333333,goal,0.7142857142857143,0.6666666666666666,0.6,0.7142857142857143,8.333333333333334,11.0,12.857142857142858,5.0,12.5,13.0,14.8
7,7,0,False,7,0.14285714285714285,0.0,0.0,0.0,hole,0.625,0.3333333333333333,0.6,0.625,6.333333333333333,9.2,12.125,5.0,12.0,13.0,14.8
8,8,0,False,25,0.04,0.0,0.0,0.0,max_steps_exceeded,0.5555555555555556,0.3333333333333333,0.4,0.5555555555555556,14.666666666666666,11.4,13.555555555555555,5.0,12.0,12.5,14.8
9,9,0,False,25,0.04,0.0,0.0,0.0,max_steps_exceeded,0.5,0.0,0.2,0.5,19.0,13.8,14.7,5.0,,12.0,14.8
