,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,10,0.1,1.0,1.0,0.1,goal,1.0,1.0,1.0,1.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0
1,1,1,True,10,0.1,1.0,1.0,0.1,goal,1.0,1.0,1.0,1.0,10.0,10.0,10.0,2.0,10.0,10.0,10.0
2,2,1,True,12,0.08333333333333333,1.0,1.0,0.08333333333333333,goal,1.0,1.0,1.0,1.0,10.666666666666666,10.666666666666666,10.666666666666666,3.0,10.666666666666666,10.666666666666666,10.666666666666666
3,3,0,False,36,0.027777777777777776,0.0,0.0,0.0,max_steps_exceeded,0.75,0.6666666666666666,0.75,0.75,19.333333333333332,17.0,17.0,3.0,11.0,10.666666666666666,10.666666666666666
4,4,0,False,36,0.027777777777777776,0.0,0.0,0.0,max_steps_exceeded,0.6,0.3333333333333333,0.6,0.6,28.0,20.8,20.8,3.0,12.0,10.666666666666666,10.666666666666666
5,5,0,False,36,0.027777777777777776,0.0,0.0,0.0,max_steps_exceeded,0.5,0.0,0.4,0.5,36.0,26.0,23.333333333333332,3.0,,11.0,10.666666666666666
6,6,0,False,36,0.027777777777777776,0.0,0.0,0.0,max_steps_exceeded,0.42857142857142855,0.0,0.2,0.42857142857142855,36.0,31.2,25.142857142857142,3.0,,12.0,10.666666666666666
7,7,1,True,10,0.1,1.0,1.0,0.1,goal,0.5,0.3333333333333333,0.2,0.5,27.333333333333332,30.8,23.25,4.0,10.0,10.0,10.5
8,8,0,False,0,0.0,0.0,0.0,0.0,error,0.4444444444444444,0.3333333333333333,0.2,0.4444444444444444,15.333333333333334,23.6,20.666666666666668,4.0,10.0,10.0,10.5
9,9,0,False,36,0.027777777777777776,0.0,0.0,0.0,max_steps_exceeded,0.4,0.3333333333333333,0.2,0.4,15.333333333333334,23.6,22.2,4.0,10.0,10.0,10.5
