,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,13,0.07692307692307693,1.0,1.0,0.07692307692307693,goal,1.0,1.0,1.0,1.0,13.0,13.0,13.0,1.0,13.0,13.0,13.0
1,1,1,True,12,0.08333333333333333,1.0,1.0,0.08333333333333333,goal,1.0,1.0,1.0,1.0,12.5,12.5,12.5,2.0,12.5,12.5,12.5
2,2,1,True,10,0.1,1.0,1.0,0.1,goal,1.0,1.0,1.0,1.0,11.666666666666666,11.666666666666666,11.666666666666666,3.0,11.666666666666666,11.666666666666666,11.666666666666666
3,3,1,True,26,0.038461538461538464,1.0,1.0,0.038461538461538464,goal,1.0,1.0,1.0,1.0,16.0,15.25,15.25,4.0,16.0,15.25,15.25
4,4,0,False,0,0.0,0.0,0.0,0.0,error,0.8,0.6666666666666666,0.8,0.8,12.0,12.2,12.2,4.0,18.0,15.25,15.25
5,5,1,True,12,0.08333333333333333,1.0,1.0,0.08333333333333333,goal,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,12.666666666666666,12.0,12.166666666666666,5.0,19.0,15.0,14.6
6,6,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,0.8571428571428571,0.6666666666666666,0.8,0.8571428571428571,8.666666666666666,12.4,12.428571428571429,6.0,13.0,15.5,14.5
7,7,1,True,10,0.1,1.0,1.0,0.1,goal,0.875,1.0,0.8,0.875,12.0,12.4,12.125,7.0,12.0,15.5,13.857142857142858
8,8,1,True,12,0.08333333333333333,1.0,1.0,0.08333333333333333,goal,0.8888888888888888,1.0,0.8,0.8888888888888888,12.0,9.6,12.11111111111111,8.0,12.0,12.0,13.625
9,9,0,False,3,0.3333333333333333,0.0,0.0,0.0,hole,0.8,0.6666666666666666,0.8,0.8,8.333333333333334,10.2,11.2,8.0,11.0,12.0,13.625
