,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.0,1,14.0,14.0,14.0
1,1,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.0,2,14.0,14.0,14.0
2,2,1,True,16,0.0625,1,1,0.0625,goal,1.0,1.0,1.0,1.0,14.666666666666666,14.666666666666666,14.666666666666666,3,14.666666666666666,14.666666666666666,14.666666666666666
3,3,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.666666666666666,14.5,14.5,4,14.666666666666666,14.5,14.5
4,4,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.666666666666666,14.4,14.4,5,14.666666666666666,14.4,14.4
5,5,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.4,14.333333333333334,6,14.0,14.4,14.333333333333334
6,6,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.4,14.285714285714286,7,14.0,14.4,14.285714285714286
7,7,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.25,8,14.0,14.0,14.25
8,8,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.222222222222221,9,14.0,14.0,14.222222222222221
9,9,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.2,10,14.0,14.0,14.2
