,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,6,0.16666666666666666,1.0,1.0,0.16666666666666666,goal,1.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0
1,1,1,True,8,0.125,1.0,1.0,0.125,goal,1.0,1.0,1.0,1.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0
2,2,1,True,6,0.16666666666666666,1.0,1.0,0.16666666666666666,goal,1.0,1.0,1.0,1.0,6.666666666666667,6.666666666666667,6.666666666666667,3.0,6.666666666666667,6.666666666666667,6.666666666666667
3,3,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,1.0,1.0,1.0,1.0,9.333333333333334,8.5,8.5,4.0,9.333333333333334,8.5,8.5
4,4,0,False,5,0.2,0.0,0.0,0.0,hole,0.8,0.6666666666666666,0.8,0.8,8.333333333333334,7.8,7.8,4.0,10.0,8.5,8.5
5,5,0,False,0,0.0,0.0,0.0,0.0,error,0.6666666666666666,0.3333333333333333,0.6,0.6666666666666666,6.333333333333333,6.6,6.5,4.0,14.0,9.333333333333334,8.5
6,6,1,True,6,0.16666666666666666,1.0,1.0,0.16666666666666666,goal,0.7142857142857143,0.3333333333333333,0.6,0.7142857142857143,3.6666666666666665,6.2,6.428571428571429,5.0,6.0,8.666666666666666,8.0
7,7,1,True,7,0.14285714285714285,1.0,1.0,0.14285714285714285,goal,0.75,0.6666666666666666,0.6,0.75,4.333333333333333,6.4,6.5,6.0,6.5,9.0,7.833333333333333
8,8,0,False,3,0.3333333333333333,0.0,0.0,0.0,hole,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,5.333333333333333,4.2,6.111111111111111,6.0,6.5,6.5,7.833333333333333
9,9,0,False,2,0.5,0.0,0.0,0.0,hole,0.6,0.3333333333333333,0.4,0.6,4.0,3.6,5.7,6.0,7.0,6.5,7.833333333333333
