,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,19,0.05263157894736842,1,1,0.05263157894736842,goal,1.0,1.0,1.0,1.0,19.0,19.0,19.0,1,19.0,19.0,19.0
1,1,0,False,10,0.1,0,0,0.0,hole,0.5,0.5,0.5,0.5,14.5,14.5,14.5,1,19.0,19.0,19.0
2,2,0,False,13,0.07692307692307693,0,0,0.0,hole,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.0,14.0,14.0,1,19.0,19.0,19.0
3,3,0,False,5,0.2,0,0,0.0,hole,0.25,0.0,0.25,0.25,9.333333333333334,11.75,11.75,1,,19.0,19.0
4,4,0,False,23,0.043478260869565216,0,0,0.0,hole,0.2,0.0,0.2,0.2,13.666666666666666,14.0,14.0,1,,19.0,19.0
5,5,1,True,28,0.03571428571428571,1,1,0.03571428571428571,goal,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,18.666666666666668,15.8,16.333333333333332,2,28.0,28.0,23.5
6,6,1,True,20,0.05,1,1,0.05,goal,0.42857142857142855,0.6666666666666666,0.4,0.42857142857142855,23.666666666666668,17.8,16.857142857142858,3,24.0,24.0,22.333333333333332
7,7,1,True,16,0.0625,1,1,0.0625,goal,0.5,1.0,0.6,0.5,21.333333333333332,18.4,16.75,4,21.333333333333332,21.333333333333332,20.75
8,8,1,True,19,0.05263157894736842,1,1,0.05263157894736842,goal,0.5555555555555556,1.0,0.8,0.5555555555555556,18.333333333333332,21.2,17.0,5,18.333333333333332,20.75,20.4
9,9,0,False,14,0.07142857142857142,0,0,0.0,hole,0.5,0.6666666666666666,0.8,0.5,16.333333333333332,19.4,16.7,5,17.5,20.75,20.4
