,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,10,0.1,1.0,1.0,0.1,goal,1.0,1.0,1.0,1.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0
1,1,1,True,8,0.125,1.0,1.0,0.125,goal,1.0,1.0,1.0,1.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0
2,2,1,True,15,0.06666666666666667,1.0,1.0,0.06666666666666667,goal,1.0,1.0,1.0,1.0,11.0,11.0,11.0,3.0,11.0,11.0,11.0
3,3,0,False,0,0.0,0.0,0.0,0.0,error,0.75,0.6666666666666666,0.75,0.75,7.666666666666667,8.25,8.25,3.0,11.5,11.0,11.0
4,4,1,True,18,0.05555555555555555,1.0,1.0,0.05555555555555555,goal,0.8,0.6666666666666666,0.8,0.8,11.0,10.2,10.2,4.0,16.5,12.75,12.75
5,5,1,True,15,0.06666666666666667,1.0,1.0,0.06666666666666667,goal,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,11.0,11.2,11.0,5.0,16.5,14.0,13.2
6,6,1,True,12,0.08333333333333333,1.0,1.0,0.08333333333333333,goal,0.8571428571428571,1.0,0.8,0.8571428571428571,15.0,12.0,11.142857142857142,6.0,15.0,15.0,13.0
7,7,1,True,15,0.06666666666666667,1.0,1.0,0.06666666666666667,goal,0.875,1.0,0.8,0.875,14.0,12.0,11.625,7.0,14.0,15.0,13.285714285714286
8,8,0,False,13,0.07692307692307693,0.0,0.0,0.0,hole,0.7777777777777778,0.6666666666666666,0.8,0.7777777777777778,13.333333333333334,14.6,11.777777777777779,7.0,13.5,15.0,13.285714285714286
9,9,0,False,7,0.14285714285714285,0.0,0.0,0.0,hole,0.7,0.3333333333333333,0.6,0.7,11.666666666666666,12.4,11.3,7.0,15.0,14.0,13.285714285714286
