,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,16,0.0625,1.0,1.0,0.0625,goal,1.0,1.0,1.0,1.0,16.0,16.0,16.0,1.0,16.0,16.0,16.0
1,1,0,False,11,0.09090909090909091,0.0,0.0,0.0,hole,0.5,0.5,0.5,0.5,13.5,13.5,13.5,1.0,16.0,16.0,16.0
2,2,1,True,15,0.06666666666666667,1.0,1.0,0.06666666666666667,goal,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,14.0,14.0,14.0,2.0,15.5,15.5,15.5
3,3,0,False,0,0.0,0.0,0.0,0.0,error,0.5,0.3333333333333333,0.5,0.5,8.666666666666666,10.5,10.5,2.0,15.0,15.5,15.5
4,4,0,False,60,0.016666666666666666,0.0,0.0,0.0,max_steps_exceeded,0.4,0.3333333333333333,0.4,0.4,25.0,20.4,20.4,2.0,15.0,15.5,15.5
5,5,0,False,9,0.1111111111111111,0.0,0.0,0.0,hole,0.3333333333333333,0.0,0.2,0.3333333333333333,23.0,19.0,18.5,2.0,,15.0,15.5
6,6,0,False,14,0.07142857142857142,0.0,0.0,0.0,hole,0.2857142857142857,0.0,0.2,0.2857142857142857,27.666666666666668,19.6,17.857142857142858,2.0,,15.0,15.5
7,7,1,True,17,0.058823529411764705,1.0,1.0,0.058823529411764705,goal,0.375,0.3333333333333333,0.2,0.375,13.333333333333334,20.0,17.75,3.0,17.0,17.0,16.0
8,8,0,False,19,0.05263157894736842,0.0,0.0,0.0,hole,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,16.666666666666668,23.8,17.88888888888889,3.0,17.0,17.0,16.0
9,9,0,False,9,0.1111111111111111,0.0,0.0,0.0,hole,0.3,0.3333333333333333,0.2,0.3,15.0,13.6,17.0,3.0,17.0,17.0,16.0
