,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0
1,1,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.0,2.0,14.0,14.0,14.0
2,2,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.0,3.0,14.0,14.0,14.0
3,3,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.0,4.0,14.0,14.0,14.0
4,4,0,False,0,0.0,0.0,0.0,0.0,error,0.8,0.6666666666666666,0.8,0.8,9.333333333333334,11.2,11.2,4.0,14.0,14.0,14.0
5,5,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,9.333333333333334,11.2,11.666666666666666,5.0,14.0,14.0,14.0
6,6,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,0.8571428571428571,0.6666666666666666,0.8,0.8571428571428571,9.333333333333334,11.2,12.0,6.0,14.0,14.0,14.0
7,7,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,0.875,1.0,0.8,0.875,14.0,11.2,12.25,7.0,14.0,14.0,14.0
8,8,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,0.8888888888888888,1.0,0.8,0.8888888888888888,14.0,11.2,12.444444444444445,8.0,14.0,14.0,14.0
