,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,20,0.05,1,1,0.05,goal,1.0,1.0,1.0,1.0,20.0,20.0,20.0,1,20.0,20.0,20.0
1,1,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,1.0,1.0,1.0,1.0,17.0,17.0,17.0,2,17.0,17.0,17.0
2,2,0,False,60,0.016666666666666666,0,0,0.0,max_steps_exceeded,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,31.333333333333332,31.333333333333332,31.333333333333332,2,17.0,17.0,17.0
3,3,0,False,60,0.016666666666666666,0,0,0.0,max_steps_exceeded,0.5,0.3333333333333333,0.5,0.5,44.666666666666664,38.5,38.5,2,14.0,17.0,17.0
4,4,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,0.6,0.3333333333333333,0.6,0.6,44.666666666666664,33.6,33.6,3,14.0,16.0,16.0
5,5,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,29.333333333333332,32.4,30.333333333333332,4,14.0,14.0,15.5
6,6,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,0.7142857142857143,1.0,0.6,0.7142857142857143,14.0,32.4,28.0,5,14.0,14.0,15.2
7,7,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,0.75,1.0,0.8,0.75,14.0,23.2,26.25,6,14.0,14.0,15.0
8,8,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,0.7777777777777778,1.0,1.0,0.7777777777777778,14.0,14.0,24.88888888888889,7,14.0,14.0,14.857142857142858
9,9,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,0.8,1.0,1.0,0.8,14.0,14.0,23.8,8,14.0,14.0,14.75
