,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,0,False,8,0.125,0,0,0.0,hole,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0,,,
1,1,0,False,20,0.05,0,0,0.0,hole,0.0,0.0,0.0,0.0,14.0,14.0,14.0,0,,,
2,2,0,False,17,0.058823529411764705,0,0,0.0,hole,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0,,,
3,3,0,False,21,0.047619047619047616,0,0,0.0,hole,0.0,0.0,0.0,0.0,19.333333333333332,16.5,16.5,0,,,
4,4,0,False,18,0.05555555555555555,0,0,0.0,hole,0.0,0.0,0.0,0.0,18.666666666666668,16.8,16.8,0,,,
5,5,0,False,18,0.05555555555555555,0,0,0.0,hole,0.0,0.0,0.0,0.0,19.0,18.8,17.0,0,,,
6,6,0,False,5,0.2,0,0,0.0,hole,0.0,0.0,0.0,0.0,13.666666666666666,15.8,15.285714285714286,0,,,
7,7,1,True,25,0.04,1,1,0.04,goal,0.125,0.3333333333333333,0.2,0.125,16.0,17.4,16.5,1,25.0,25.0,25.0
8,8,0,False,17,0.058823529411764705,0,0,0.0,hole,0.1111111111111111,0.3333333333333333,0.2,0.1111111111111111,15.666666666666666,16.6,16.555555555555557,1,25.0,25.0,25.0
9,9,1,True,20,0.05,1,1,0.05,goal,0.2,0.6666666666666666,0.4,0.2,20.666666666666668,17.0,16.9,2,22.5,22.5,22.5
